,,TOTAUX,899.19
Date,Catégorie,Libellé,Poids_kg,Notes,,,,,,,,,,,,,,,,,,,,,Textile,,,,,,,,,,,,,,,,,,,,
,Déco,Lot Déco,1.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Déco,Lot Déco,0.40,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Déco,Lot Déco,1.73,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Électroménager,Lot Electro,13.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Électroménager,Lot Electro,8.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Électroménager,Lot Electro,11.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Électroménager,Lot Electro,15.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Électroménager,Lot Electro,1.50,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Électroménager,Lot Electro,1.73,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jeux,Lot jeux,0.04,45 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jeux,Lot jeux,0.36,360 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jeux,Lot jeux,0.05,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 25/09/2025 ,Vaisselle, Lot     ,4.00, cahier p.3  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 25/09/2025 ,Vaisselle, Lot     ,6.00, cahier p.3  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 25/09/2025 ,Vaisselle, Lot     ,7.00, cahier p.3  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 25/09/2025 ,Vaisselle, Lot     ,5.00,, cahier p.3  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 25/09/2025 ,Vaisselle, Lot     ,13.00, cahier p.3  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 25/09/2025 ,Vaisselle, Lot     ,6.00, cahier p.3  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 25/09/2025 ,Vaisselle, Lot     ,10.00, cahier p.3  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
